animal name, hair, feathers, eggs, milk, airborne, aquatic, predator, toothed, backbone, breathes, venomous, fins, legs, tail, domestic, catsize, type
pussycat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,1

raccoon,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

reindeer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,1

rhea,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,2

scorpion,False,False,False,False,False,False,True,False,False,True,True,False,8,True,False,False,7

seahorse,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,4

seal,True,False,False,True,False,True,True,True,True,True,False,True,0,False,False,True,1

sealion,True,False,False,True,False,True,True,True,True,True,False,True,2,True,False,True,1

seasnake,False,False,False,False,False,True,True,True,True,False,True,False,0,True,False,False,3

seawasp,False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,7

skimmer,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,2

skua,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,2

slowworm,False,False,True,False,False,False,True,True,True,True,False,False,0,True,False,False,3

slug,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,7

sole,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,4

sparrow,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,2

squirrel,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,1

starfish,False,False,True,False,False,True,True,False,False,False,False,False,5,False,False,False,7

stingray,False,False,True,False,False,True,True,True,True,False,True,True,0,True,False,True,4

swan,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,2

termite,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,6

toad,False,False,True,False,False,True,False,True,True,True,False,False,4,False,False,False,5

tortoise,False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,3

tuatara,False,False,True,False,False,False,True,True,True,True,False,False,4,True,False,False,3

tuna,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,4

vampire,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,1

vole,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,1

vulture,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,True,2

wallaby,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,True,1

wasp,True,False,True,False,True,False,False,False,False,True,True,False,6,False,False,False,6

wolf,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,1

worm,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,7

wren,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,2
